,n,accepted,decided,withdraw,acc_rate_all,acc_rate_decided
learning theory,516,190,410,82,0.3682170542635659,0.4634146341463415
"foundation or frontier models, including LLMs",2646,831,1903,626,0.31405895691609975,0.4366789280084078
"probabilistic methods (Bayesian methods, variational inferen",380,116,306,55,0.30526315789473685,0.3790849673202614
"applications to robotics, autonomy, planning",598,178,421,158,0.2976588628762542,0.42280285035629456
applications to neuroscience & cognitive science,383,114,282,78,0.29765013054830286,0.40425531914893614
generative models,1680,496,1148,454,0.29523809523809524,0.43205574912891986
reinforcement learning,1065,308,796,224,0.2892018779342723,0.3869346733668342
datasets and benchmarks,1593,443,1077,420,0.2780916509730069,0.4113277623026927
"applications to computer vision, audio, language, and other ",2711,737,1708,915,0.2718554039099963,0.4314988290398126
optimization,739,191,557,156,0.2584573748308525,0.34290843806104127
"applications to physical sciences (physics, chemistry, biolo",861,221,596,228,0.25667828106852497,0.37080536912751677
interpretability and explainable AI,788,199,558,192,0.25253807106598986,0.35663082437275984
"alignment, fairness, safety, privacy, and societal considera",1696,423,1161,447,0.24941037735849056,0.3643410852713178
"infrastructure, software libraries, hardware, systems, etc.",178,43,133,36,0.24157303370786518,0.3233082706766917
causal reasoning,195,47,142,43,0.24102564102564103,0.33098591549295775
"unsupervised, self-supervised, semi-supervised, and supervis",1163,265,814,302,0.22785898538263114,0.32555282555282555
learning on time series and dynamical systems,467,101,336,109,0.21627408993576017,0.3005952380952381
"other topics in machine learning (i.e., none of the above)",825,177,557,232,0.21454545454545454,0.3177737881508079
learning on graphs and other geometries & topologies,534,113,369,131,0.21161048689138576,0.3062330623306233
"neurosymbolic & hybrid AI systems (physics-informed, logic &",226,47,159,52,0.2079646017699115,0.29559748427672955
"transfer learning, meta learning, and lifelong learning",570,118,378,158,0.20701754385964913,0.31216931216931215
